Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
P3,2024-11-04 01:09:18.514,,2596.329,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 10-22-05.mp4,0.0,3532.072,60.000,,Mouse_on_Navigation_Area,,START,111.049,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 10-22-05.mp4,2090,NA,
P3,2024-11-04 01:09:18.514,,2596.329,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 10-22-05.mp4,0.0,3532.072,60.000,,Mouse_on_Navigation_Area,,STOP,190.506,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 10-22-05.mp4,3585,NA,
P3,2024-11-04 01:09:18.514,,2596.329,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 10-22-05.mp4,0.0,3532.072,60.000,,Mouse_on_Linechart_Area,,START,190.639,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 10-22-05.mp4,3588,NA,
P3,2024-11-04 01:09:18.514,,2596.329,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 10-22-05.mp4,0.0,3532.072,60.000,,Mouse_on_Linechart_Area,,STOP,193.000,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 10-22-05.mp4,3632,NA,
P3,2024-11-04 01:09:18.514,,2596.329,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 10-22-05.mp4,0.0,3532.072,60.000,,Mouse_on_Navigation_Area,,START,193.088,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 10-22-05.mp4,3634,NA,
P3,2024-11-04 01:09:18.514,,2596.329,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 10-22-05.mp4,0.0,3532.072,60.000,,Mouse_on_Navigation_Area,,STOP,195.437,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 10-22-05.mp4,3678,NA,
P3,2024-11-04 01:09:18.514,,2596.329,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 10-22-05.mp4,0.0,3532.072,60.000,,Mouse_on_Linechart_Area,,START,195.654,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 10-22-05.mp4,3682,NA,
P3,2024-11-04 01:09:18.514,,2596.329,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 10-22-05.mp4,0.0,3532.072,60.000,,Mouse_on_Linechart_Area,,STOP,264.000,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 10-22-05.mp4,4968,NA,
P3,2024-11-04 01:09:18.514,,2596.329,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 10-22-05.mp4,0.0,3532.072,60.000,,Mouse_on_Navigation_Area,,START,264.315,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 10-22-05.mp4,4974,NA,
P3,2024-11-04 01:09:18.514,,2596.329,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 10-22-05.mp4,0.0,3532.072,60.000,,Mouse_on_Navigation_Area,,STOP,266.048,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 10-22-05.mp4,5007,NA,
P3,2024-11-04 01:09:18.514,,2596.329,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 10-22-05.mp4,0.0,3532.072,60.000,,Mouse_on_Linechart_Area,,START,266.447,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 10-22-05.mp4,5014,NA,
P3,2024-11-04 01:09:18.514,,2596.329,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 10-22-05.mp4,0.0,3532.072,60.000,,Mouse_on_Linechart_Area,,STOP,297.700,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 10-22-05.mp4,5602,NA,
P3,2024-11-04 01:09:18.514,,2596.329,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 10-22-05.mp4,0.0,3532.072,60.000,,Mouse_on_Navigation_Area,,START,297.937,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 10-22-05.mp4,5607,NA,
