Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
P4,2024-11-04 18:01:21.539,,1170.256,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 13-10-19.mp4,0.0,1172.714,60.000,,Mouse_on_Navigation_Area,,START,0.000,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 13-10-19.mp4,NA,NA,Event automatically added by the fix unpaired state events function
P4,2024-11-04 18:01:21.539,,1170.256,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 13-10-19.mp4,0.0,1172.714,60.000,,Mouse_on_Navigation_Area,,STOP,1.407,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 13-10-19.mp4,28,NA,
P4,2024-11-04 18:01:21.539,,1170.256,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 13-10-19.mp4,0.0,1172.714,60.000,,Mouse_on_Navigation_Area,,START,39.000,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 13-10-19.mp4,780,NA,
P4,2024-11-04 18:01:21.539,,1170.256,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 13-10-19.mp4,0.0,1172.714,60.000,,Mouse_on_Linechart_Area,,START,39.077,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 13-10-19.mp4,782,NA,
P4,2024-11-04 18:01:21.539,,1170.256,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 13-10-19.mp4,0.0,1172.714,60.000,,Mouse_on_Linechart_Area,,STOP,40.600,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 13-10-19.mp4,812,NA,
P4,2024-11-04 18:01:21.539,,1170.256,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 13-10-19.mp4,0.0,1172.714,60.000,,Mouse_on_Navigation_Area,,STOP,40.810,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 13-10-19.mp4,816,NA,
P4,2024-11-04 18:01:21.539,,1170.256,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 13-10-19.mp4,0.0,1172.714,60.000,,Mouse_on_Navigation_Area,,START,52.000,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 13-10-19.mp4,1040,NA,
P4,2024-11-04 18:01:21.539,,1170.256,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 13-10-19.mp4,0.0,1172.714,60.000,,Mouse_on_Linechart_Area,,START,52.123,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 13-10-19.mp4,1043,NA,
P4,2024-11-04 18:01:21.539,,1170.256,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 13-10-19.mp4,0.0,1172.714,60.000,,Mouse_on_Linechart_Area,,STOP,54.200,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 13-10-19.mp4,1084,NA,
P4,2024-11-04 18:01:21.539,,1170.256,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 13-10-19.mp4,0.0,1172.714,60.000,,Mouse_on_Navigation_Area,,STOP,54.472,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 13-10-19.mp4,1090,NA,
P4,2024-11-04 18:01:21.539,,1170.256,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 13-10-19.mp4,0.0,1172.714,60.000,,Mouse_on_Navigation_Area,,START,71.700,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-29 13-10-19.mp4,1434,NA,
